grupedad	codmuer	critred1011
NEONATAL	A071	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A072	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A073	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A078	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A543	
NEONATAL	A544	
NEONATAL	A079	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A080	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A081	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A082	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A083	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A084	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A085	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A09X	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A052	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A545	
NEONATAL	A546	
NEONATAL	A150	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A548	
NEONATAL	A549	
NEONATAL	A151	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A160	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A161	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A162	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A163	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A164	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A165	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A167	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A168	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A169	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A170	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A171	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A178	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A179	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A180	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A181	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A182	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A183	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A185	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A186	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A187	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A188	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A190	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A191	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A192	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A198	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A199	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A184	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A200	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A201	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A202	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A203	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A207	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A208	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A209	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A210	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A211	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A212	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A213	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A217	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A218	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A219	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A220	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A221	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A222	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A227	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A228	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A229	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A230	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A231	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A232	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A233	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A238	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A239	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A240	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A241	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A242	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A243	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A244	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A250	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A251	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A259	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A260	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A267	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A268	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A269	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A278	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A279	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A280	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A281	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A282	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A288	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A289	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A270	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A310	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A311	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A318	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A319	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A320	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A321	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A329	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A370	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A371	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A378	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A379	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A390	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
